Number,Character,Pinyin,English,CHR/million,Known,,,,,,,,
369,内,nèi,inside  ,407.14,1,,,,,,,,
370,运,yùn,transport  ,404.88,1,,,,,,,,
371,根,gēn,root  ,403.58,1,,,,,,,,
372,单,dān,single  ,403.36,1,,,,,,,,
373,宝,bǎo,treasure  ,402.6,1,,,,,,,,
374,哥,gē,brother  ,402.32,1,,,,,,,,
375,张,zhāng,expand  ,400.05,1,,,,,,,,
376,搞,gǎo,do  ,397.07,1,,,,,,,,
377,战,zhàn,war  ,395.19,1,,,,,,,,
378,火,huǒ,fire  ,394.5,1,,,,,,,,
379,罗,luó,collect  ,393.84,1,,,,,,,,
380,至,zhì,reach  ,392.69,1,,,,,,,,
381,万,wàn,ten thousand  ,391.43,1,,,,,,,,
382,声,shēng,sound  ,389.79,1,,,,,,,,
383,布,bù,cloth  ,389.68,1,,,,,,,,
384,音,yīn,sound  ,389.17,1,,,,,,,,
385,期,qī,period  ,387.33,1,,,,,,,,
386,条,tiáo,strip  ,387.14,1,,,,,,,,
387,消,xiāo,eliminate  ,386.48,1,,,,,,,,
388,买,mǎi,buy  ,385.24,1,,,,,,,,
389,病,bìng,sick  ,384.96,1,,,,,,,,
390,整,zhěng,whole  ,384.73,1,,,,,,,,
391,奇,qí,strange  ,383.25,1,,,,,,,,
392,弟,dì,brother  ,379.33,1,,,,,,,,
393,犯,fàn,commit (a crime)  ,378.34,1,,,,,,,,
394,装,zhuāng,install  ,376.44,1,,,,,,,,
395,贝,bèi,shell  ,375.57,1,,,,,,,,
396,您,nín,you (respectful)  ,374.91,1,,,,,,,,
397,送,sòng,give  ,374.67,1,,,,,,,,
398,怕,pà,fear  ,374.67,1,,,,,,,,
399,护,hù,protect  ,371.15,1,,,,,,,,
400,度,dù,degree  ,371.13,1,,,,,,,,
401,花,huā,flower  ,371.02,1,,,,,,,,
402,节,jié,section  ,370.98,1,,,,,,,,
403,近,jìn,close  ,369.97,1,,,,,,,,
404,怪,guài,strange  ,369.93,1,,,,,,,,
405,持,chí,hold  ,369.36,1,,,,,,,,
406,光,guāng,light  ,369.03,1,,,,,,,,
407,与,yǔ,and  ,368.52,1,,,,,,,,
408,穿,chuān,wear  ,366.67,1,,,,,,,,
409,愿,yuàn,wish  ,365.75,1,,,,,,,,
410,象,xiàng,elephant  ,363.08,1,,,,,,,,
411,影,yǐng,shadow  ,361.31,1,,,,,,,,
412,击,jī,strike  ,361.18,1,,,,,,,,
413,使,shǐ,make  ,361.07,1,,,,,,,,
414,二,èr,two,358.96,1,,,,,,,,
415,喝,hē,drink  ,357.46,1,,,,,,,,
416,月,yuè,moon  ,355.99,1,,,,,,,,
417,器,qì,device  ,354.67,1,,,,,,,,
418,察,chá,inspect  ,353.11,1,,,,,,,,
419,制,zhì,system  ,352.66,1,,,,,,,,
420,嘛,ma,question particle  ,352.58,1,,,,,,,,
421,哈,hā,ha  ,351.98,1,,,,,,,,
422,助,zhù,assist  ,350.87,1,,,,,,,,
423,达,dá,reach  ,350.4,1,,,,,,,,
424,海,hǎi,sea  ,350.21,1,,,,,,,,
425,待,dài,wait  ,348.28,1,,,,,,,,
426,托,tuō,trust  ,347.49,1,,,,,,,,
427,除,chú,remove  ,346.6,1,,,,,,,,
428,写,xiě,write  ,343.35,1,,,,,,,,
429,绝,jué,absolutely  ,341.67,1,,,,,,,,
430,界,jiè,boundary  ,341.47,1,,,,,,,,
431,帝,dì,emperor  ,341.32,1,,,,,,,,
432,姐,jiě,sister  ,340.15,1,,,,,,,,
433,反,fǎn,reverse  ,339.87,1,,,,,,,,
434,担,dān,carry  ,339.45,1,,,,,,,,
435,司,sī,manage  ,337.69,1,,,,,,,,
436,强,qiáng,strong  ,336.35,1,,,,,,,,
437,由,yóu,by  ,335.88,1,,,,,,,,
438,论,lùn,discuss  ,335.86,1,,,,,,,,
439,飞,fēi,fly  ,335.54,1,,,,,,,,
440,亚,yà,Asia  ,334.94,1,,,,,,,,
441,续,xù,continue  ,333.38,1,,,,,,,,
442,视,shì,view  ,332.64,1,,,,,,,,
443,母,mǔ,mother  ,332.1,1,,,,,,,,
444,空,kōng,empty  ,331.27,1,,,,,,,,
445,军,jūn,army  ,331.25,1,,,,,,,,
446,跑,pǎo,run  ,330.8,1,,,,,,,,
447,阿,ā,Ah  ,330.67,1,,,,,,,,
448,尽,jǐn,exhaust  ,330.09,1,,,,,,,,
449,注,zhù  ,notice,325.76,1,,,,,,,,
450,弄,nòng,do  ,325.48,1,,,,,,,,
451,密,mì,secret  ,324.52,1,,,,,,,,
452,线,xiàn,line  ,323.86,1,,,,,,,,
453,代,dài,generation,323.26,1,,,,,,,,
454,忙,máng,busy  ,323.01,1,,,,,,,,
455,坏,huài,bad  ,322.47,1,,,,,,,,
456,久,jiǔ,long  ,321.79,1,,,,,,,,
457,议,yì,discuss  ,319.01,1,,,,,,,,
458,衣,yī,clothing  ,318.97,1,,,,,,,,
459,血,xuè,blood  ,317.54,1,,,,,,,,
460,钟,zhōng,clock  ,317.2,1,,,,,,,,
461,继,jì,continue  ,315.53,1,,,,,,,,
462,礼,lǐ,gift  ,315.3,1,,,,,,,,
463,数,shù,number  ,314.98,1,,,,,,,,
464,份,fèn,portion  ,314.98,1,,,,,,,,
465,疯,fēng,crazy  ,314.94,1,,,,,,,,
466,平,píng,flat  ,314.66,1,,,,,,,,
467,止,zhǐ,stop  ,314.51,1,,,,,,,,
468,十,shí,ten  ,314.49,1,,,,,,,,
469,拜,bài,worship  ,314.3,1,,,,,,,,
470,鬼,guǐ,ghost  ,312.67,1,,,,,,,,
471,睡,shuì,sleep  ,311.67,1,,,,,,,,
472,啦,la,exclamatory particle  ,310.77,1,,,,,,,,
473,调,tiáo,adjust  ,310.39,1,,,,,,,,
474,巴,bā,ba  ,308.38,1,,,,,,,,
475,兄,xiōng,brother  ,306.85,1,,,,,,,,
476,紧,jǐn,tight  ,306.82,1,,,,,,,,
477,站,zhàn,stand  ,305.93,1,,,,,,,,
478,品,pǐn,product  ,305.67,1,,,,,,,,
479,英,yīng,hero  ,304.13,1,,,,,,,,
480,罪,zuì,crime  ,304.05,1,,,,,,,,
481,文,wén,culture  ,303.07,1,,,,,,,,
482,亮,liàng,bright  ,302.23,1,,,,,,,,
483,抓,zhuā,catch  ,302.23,1,,,,,,,,
484,跳,tiào,jump  ,301.7,1,,,,,,,,
485,联,lián,connect  ,301.38,1,,,,,,,,
486,混,hùn,mix  ,299.57,1,,,,,,,,
487,便,biàn,convenient  ,298.5,1,,,,,,,,
488,狗,gǒu,dog  ,298.41,1,,,,,,,,
489,脑,nǎo,brain  ,297.47,1,,,,,,,,
490,业,yè,industry  ,297.35,1,,,,,,,,
491,歌,gē,song  ,296.06,1,,,,,,,,
492,精,jīng ,consciousness,295.64,1,,,,,,,,
493,包,bāo,bag  ,293.37,1,,,,,,,,
494,转,zhuǎn,turn  ,293.33,1,,,,,,,,
495,却,què,yet  ,292.63,1,,,,,,,,
496,参,cān,participate  ,289.79,1,,,,,,,,
497,院,yuàn,courtyard  ,289.57,1,,,,,,,,
498,务,wù,affair  ,288.53,1,,,,,,,,
499,基,jī,base  ,286.67,1,,,,,,,,
500,台,tái,platform  ,286.16,1,,,,,,,,
501,另,lìng,another  ,285.48,1,,,,,,,,
502,恩,ēn,grace  ,285.33,1,,,,,,,,
503,书,shū,book  ,285.22,1,,,,,,,,
504,统,tǒng,system  ,285.11,1,,,,,,,,
505,风,fēng,wind  ,283.96,1,,,,,,,,
506,况,kuàng,condition  ,283.28,1,,,,,,,,
507,四,sì,four  ,282.7,1,,,,,,,,
508,黑,hēi,black  ,282.23,1,,,,,,,,
509,否,fǒu,no  ,282,1,,,,,,,,
510,险,xiǎn,risk  ,281.4,1,,,,,,,,
